image id,true label,confidence,prediction
5452,0,0.99645174,"[0.99645174, 0.00016395652, 6.612546e-10, 2.2110488e-08, 1.0326598e-11, 2.5472079e-12, 6.59364e-07, 6.0793934e-09, 5.8204796e-06, 0.0033778087]"
7715,1,1.0,"[9.9457e-41, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0819512e-37, 1.4006283e-24]"
1942,2,0.9900024,"[7.687146e-06, 2.733508e-13, 0.9900024, 2.3447437e-05, 0.009964748, 1.3949144e-06, 3.3870955e-07, 2.87286e-10, 6.5450084e-10, 2.315327e-13]"
6079,3,0.9960594,"[0.000115724, 1.0638631e-11, 0.0032271442, 0.9960594, 3.0656214e-08, 0.00058106636, 1.6637472e-05, 2.2848974e-10, 1.8834628e-11, 2.3354233e-13]"
4111,4,0.9999435,"[4.771289e-05, 2.4837012e-09, 4.3744922e-08, 4.2765366e-10, 0.9999435, 4.5837115e-08, 8.748838e-12, 8.5777565e-06, 1.8182147e-08, 1.2336193e-07]"
1745,5,0.96717113,"[2.2501331e-07, 1.5879353e-09, 1.5724866e-06, 7.317333e-05, 4.085975e-05, 0.96717113, 8.7085905e-10, 0.03271314, 2.9309561e-09, 1.4186431e-09]"
7057,6,1.0,"[1.3432053e-16, 5.8012135e-17, 6.522726e-10, 9.0470215e-13, 1.4700305e-10, 1.253567e-17, 1.0, 2.3196168e-19, 1.461676e-18, 5.4306346e-20]"
9102,7,0.99986684,"[6.4021616e-24, 5.1571264e-26, 6.415061e-19, 2.6240957e-17, 8.025091e-08, 0.00013302315, 2.6571358e-24, 0.99986684, 1.00280294e-25, 3.2147908e-24]"
1383,8,1.0,"[5.7353455e-09, 7.5813994e-11, 4.317087e-09, 6.4773906e-09, 1.4690454e-08, 3.7970204e-12, 9.129568e-09, 1.6161562e-12, 1.0, 1.182756e-10]"
7547,9,1.0,"[1.9887819e-16, 1.452967e-15, 3.0395474e-32, 1.5182174e-24, 2.611763e-38, 5.082927e-33, 2.7914597e-32, 3.870643e-29, 1.362943e-23, 1.0]"
1789,0,0.83981955,"[0.83981955, 1.7826454e-07, 8.319896e-05, 0.06364927, 0.09621877, 0.00015463961, 2.032775e-06, 2.7426373e-05, 3.6118287e-05, 8.803914e-06]"
5875,1,1.0,"[6.3825393e-21, 1.0, 1.7174772e-28, 9.818635e-31, 7.99016e-40, 1.15466204e-35, 3.9480753e-26, 4.5081496e-36, 4.53545e-16, 2.8927087e-14]"
9848,2,1.0,"[5.4355093e-11, 1.201592e-22, 1.0, 3.4533808e-14, 3.0198354e-14, 5.893786e-16, 7.175193e-17, 1.3428422e-15, 6.2671744e-18, 1.2055249e-25]"
6298,3,0.81413114,"[7.537521e-07, 6.0128116e-09, 9.344867e-06, 0.81413114, 1.2759295e-05, 0.16512936, 0.02071624, 1.4708198e-07, 4.6140027e-08, 2.301692e-07]"
7298,4,0.99999726,"[1.0957719e-14, 8.104462e-17, 2.5618413e-06, 7.339293e-13, 0.99999726, 4.0012718e-09, 8.864357e-11, 1.8293147e-07, 8.1294866e-16, 8.64904e-16]"
4501,5,0.9997596,"[6.8528594e-10, 2.796948e-10, 5.1965485e-06, 4.5465524e-07, 2.5682841e-06, 0.9997596, 1.1491297e-09, 0.00023221353, 2.1934639e-08, 3.9787368e-11]"
2549,6,0.9980052,"[3.3271588e-10, 9.2068e-11, 9.481314e-06, 1.05973626e-07, 0.0019849585, 1.9721614e-07, 0.9980052, 5.6729007e-08, 6.1207896e-12, 3.301034e-10]"
7935,7,0.9167988,"[1.1331071e-10, 1.9814623e-15, 0.041216597, 2.9602917e-08, 0.0030657703, 0.038918804, 3.673417e-14, 0.9167988, 1.0334702e-14, 4.4943605e-16]"
8890,8,0.99999297,"[7.858613e-07, 8.466088e-12, 4.9700325e-06, 4.0915936e-07, 8.3816764e-07, 1.8307504e-14, 1.1140628e-08, 2.226648e-12, 0.99999297, 1.1644942e-08]"
7923,9,0.99999714,"[2.3654445e-09, 2.7397996e-06, 3.325348e-13, 1.0509746e-11, 1.1836405e-12, 4.6859903e-12, 4.6201125e-12, 9.212864e-08, 3.1449825e-11, 0.99999714]"
1646,0,0.9999995,"[0.9999995, 8.013768e-11, 4.3121187e-07, 3.7596418e-14, 8.4990803e-13, 2.0631421e-17, 1.5747415e-12, 2.4221185e-16, 1.9017051e-08, 4.4872704e-12]"
8517,1,0.9999981,"[1.9045431e-06, 0.9999981, 1.3648561e-14, 8.7883924e-14, 2.672438e-17, 8.806079e-18, 9.8889565e-14, 2.3053504e-17, 1.6127745e-09, 1.00536806e-08]"
6699,2,1.0,"[3.4691277e-13, 3.6337212e-21, 1.0, 4.1353296e-15, 1.0858786e-12, 1.7638981e-18, 1.3830634e-11, 1.6741841e-18, 1.6205115e-16, 1.488475e-20]"
4987,3,0.9999968,"[4.7188417e-16, 1.213241e-11, 5.7368646e-07, 0.9999968, 1.7853848e-12, 3.4678767e-11, 2.6349667e-06, 2.2476123e-11, 2.2605267e-08, 2.0568778e-13]"
5957,4,0.99414814,"[4.1567347e-08, 5.3154263e-09, 9.354403e-08, 0.0015503854, 0.99414814, 0.003620913, 0.0006753753, 5.072014e-06, 1.5894976e-09, 7.2359496e-10]"
1453,5,0.99902415,"[2.310046e-07, 1.4095861e-08, 0.00090391474, 3.3881566e-05, 1.150069e-08, 0.99902415, 3.2927037e-05, 4.5852707e-06, 1.0362247e-07, 9.63858e-08]"
501,6,1.0,"[1.6874328e-23, 7.568795e-20, 2.1929178e-14, 7.3317624e-19, 8.372538e-17, 2.1748656e-21, 1.0, 5.8874666e-25, 1.7423531e-23, 4.1179183e-23]"
419,7,0.9941554,"[4.2362086e-10, 4.308811e-12, 4.940042e-07, 1.8410457e-08, 0.005840037, 4.1052167e-06, 1.2793864e-09, 0.9941554, 1.2876174e-12, 1.0119505e-09]"
6346,8,1.0,"[2.1667393e-16, 4.989205e-23, 9.03262e-25, 1.868216e-24, 1.5688543e-27, 8.492063e-33, 1.9255426e-24, 2.6280443e-30, 1.0, 2.2405512e-20]"
9367,9,1.0,"[3.8738745e-16, 1.4800293e-10, 1.47759e-28, 1.4332395e-27, 2.5713774e-32, 2.4590145e-31, 5.9289046e-28, 2.635999e-28, 1.8628284e-17, 1.0]"
